"","weeks","immuno","prior_inf","prior_vacc","severe_ve","nonsevere_ve"
"82",17,1,0,1,0.567694729942234,0.171049844501216
"83",17,1,1,0,0.725632881552962,0.459770210132309
"84",17,1,1,1,0.846780807660253,0.463011783755303
"85",18,0,0,1,0.706687602895777,0.30972782892336
"86",18,0,1,0,0.872433808424516,0.59671040209686
"87",18,0,1,1,0.927809242229314,0.602395184270391
"88",18,1,0,1,0.556687602895778,0.15972782892336
"89",18,1,1,0,0.722433808424516,0.44671040209686
"90",18,1,1,1,0.84334203854692,0.452395184270391
"91",19,0,0,1,0.695881046464794,0.298844409575931
"92",19,0,1,0,0.869332045638659,0.583954868727426
"93",19,0,1,1,0.926337499602429,0.59208482062163
"94",19,1,0,1,0.545881046464794,0.148844409575931
"95",19,1,1,0,0.719332045638659,0.433954868727426
"96",19,1,1,1,0.839955451271013,0.44208482062163
"97",2,0,0,1,0.932582773159496,0.634473232592674
"98",2,0,1,0,0.951945833231371,0.886226292272464
"99",2,0,1,1,0.968210129016635,0.859518034070107
"100",2,1,0,1,0.782582773159496,0.484473232592674
"101",2,1,1,0,0.801945833231371,0.736226292272464
"102",2,1,1,1,0.914380439718591,0.709518034070107
"103",20,0,0,1,0.685261120524513,0.288360790910502
"104",20,0,1,0,0.866319733748794,0.571481035730625
"105",20,0,1,1,0.924913539930393,0.582056404181885
"106",20,1,0,1,0.535261120524513,0.138360790910502
"107",20,1,1,0,0.716319733748793,0.421481035730625
"108",20,1,1,1,0.836616646949956,0.432056404181885
"109",21,0,0,1,0.674815498177085,0.278243349015577
"110",21,0,1,0,0.863390004958096,0.559269039378847
"111",21,0,1,1,0.923533533765698,0.572288678147163
"112",21,1,0,1,0.524815498177085,0.128243349015577
"113",21,1,1,0,0.713390004958096,0.409269039378847
"114",21,1,1,1,0.833321796136238,0.422288678147163
"115",22,0,0,1,0.66453321150382,0.268462731904736
"116",22,0,1,0,0.860536817188128,0.54730128834933
"117",22,0,1,1,0.922194124075452,0.5627629140318
"118",22,1,0,1,0.51453321150382,0.118462731904736
"119",22,1,1,0,0.710536817188129,0.39730128834933
"120",22,1,1,1,0.830067541796971,0.4127629140318
"121",23,0,0,1,0.654404447077719,0.258993149651995
"122",23,0,1,0,0.8577548221306,0.535562112974761
"123",23,0,1,1,0.920892349367606,0.553462510692082
"124",23,1,0,1,0.504404447077719,0.108993149651995
"125",23,1,1,0,0.7077548221306,0.385562112974761
"126",23,1,1,1,0.826850922440103,0.403462510692082
"127",24,0,0,1,0.644420379764036,0.249811807883864
"128",24,0,1,0,0.85503925915806,0.524037481442935
"129",24,0,1,1,0.919625582093601,0.544372671479942
"130",24,1,0,1,0.494420379764036,0.099811807883864
"131",24,1,1,0,0.705039259158059,0.374037481442935
"132",24,1,1,1,0.823669310517076,0.394372671479942
"133",25,0,0,1,0.634573036348199,0.240898450968192
"134",25,0,1,0,0.852385869167011,0.512714767922782
"135",25,0,1,1,0.918391478786927,0.535480141703267
"136",25,1,0,1,0.484573036348198,0.090898450968192
