"","week","weeks_since","age_group","adj_inc","healthy_inc","immunocompromised_inc","higher_risk_inc"
"209",2025-02-08,84,"18-29 years",0.52533,0.231369156473684,2.537748,1.13503800428571
"210",2025-02-01,83,"18-29 years",0.5837,0.257076840526316,2.81972,1.26115333809524
"211",2024-01-27,30,"18-29 years",1.1577,0.578758602631579,5.59258153846154,2.29362421428571
"212",2024-01-20,29,"18-29 years",1.362,0.68089247368421,6.57950769230769,2.69838142857143
"213",2024-01-13,28,"18-29 years",1.6344,0.817070968421053,7.89540923076923,3.23805771428571
"214",2024-01-06,27,"18-29 years",1.4982,0.748981721052631,7.23745846153846,2.96821957142857
"215",2025-01-25,82,"18-29 years",0.46696,0.205661472421053,2.255776,1.00892267047619
"216",2025-01-18,81,"18-29 years",0.52533,0.231369156473684,2.537748,1.13503800428571
"217",2025-01-11,80,"18-29 years",0.52533,0.231369156473684,2.537748,1.13503800428571
"218",2025-01-04,79,"18-29 years",0.5837,0.257076840526316,2.81972,1.26115333809524
"219",2023-07-29,4,"18-29 years",0.3996,0.163446915789474,1.93037538461538,0.901224857142857
"220",2023-07-22,3,"18-29 years",0.3996,0.163446915789474,1.93037538461538,0.901224857142857
"221",2023-07-15,2,"18-29 years",0.333,0.136205763157895,1.60864615384615,0.751020714285714
"222",2023-07-08,1,"18-29 years",0.2664,0.108964610526316,1.28691692307692,0.600816571428571
"223",2023-07-01,0,"18-29 years",0.2664,0.108964610526316,1.28691692307692,0.600816571428571
"224",2024-07-27,56,"18-29 years",0.8442,0.332511126315789,4.07813538461538,1.94250866666667
"225",2024-07-20,55,"18-29 years",0.7236,0.285009536842105,3.49554461538462,1.66500742857143
"226",2024-07-13,54,"18-29 years",0.603,0.237507947368421,2.91295384615385,1.38750619047619
"227",2024-07-06,53,"18-29 years",0.603,0.237507947368421,2.91295384615385,1.38750619047619
"228",2024-06-29,52,"18-29 years",0.4776,0.164436842105263,2.30717538461538,1.1703726984127
"229",2024-06-22,51,"18-29 years",0.2985,0.102773026315789,1.44198461538462,0.731482936507936
"230",2024-06-15,50,"18-29 years",0.3582,0.123327631578947,1.73038153846154,0.877779523809524
"231",2024-06-08,49,"18-29 years",0.2985,0.102773026315789,1.44198461538462,0.731482936507936
"232",2024-06-01,48,"18-29 years",0.2985,0.102773026315789,1.44198461538462,0.731482936507936
"233",2024-03-30,39,"18-29 years",0.2595,0.127227842105263,1.25358461538462,0.521663650793651
"234",2024-03-23,38,"18-29 years",0.3114,0.152673410526316,1.50430153846154,0.625996380952381
"235",2024-03-16,37,"18-29 years",0.3633,0.178118978947368,1.75501846153846,0.730329111111111
"236",2024-03-09,36,"18-29 years",0.3633,0.178118978947368,1.75501846153846,0.730329111111111
"237",2024-03-02,35,"18-29 years",0.6228,0.305346821052632,3.00860307692308,1.25199276190476
"238",2025-03-15,89,"18-29 years",0.17511,0.0771230521578948,0.845916,0.378346001428571
"239",2025-03-08,88,"18-29 years",0.29185,0.128538420263158,1.40986,0.630576669047619
"240",2025-03-01,87,"18-29 years",0.35022,0.15424610431579,1.691832,0.756692002857143
"241",2024-05-25,47,"18-29 years",0.2728,0.13036729122807,1.31783384615385,0.558597693121693
"242",2024-05-18,46,"18-29 years",0.2046,0.0977754684210526,0.988375384615384,0.41894826984127
"243",2024-05-11,45,"18-29 years",0.2046,0.0977754684210526,0.988375384615384,0.41894826984127
"244",2024-05-04,44,"18-29 years",0.2046,0.0977754684210526,0.988375384615384,0.41894826984127
"245",2023-11-25,21,"18-29 years",0.9128,0.37713052631579,4.40952615384615,2.04728
"246",2023-11-18,20,"18-29 years",0.7824,0.323254736842105,3.77959384615385,1.75481142857143
"247",2023-11-11,19,"18-29 years",0.8476,0.350192631578947,4.09456,1.90104571428571
"248",2023-11-04,18,"18-29 years",0.9128,0.37713052631579,4.40952615384615,2.04728
"249",2024-11-30,74,"18-29 years",0.23348,0.102830736210526,1.127888,0.504461335238095
"250",2024-11-23,73,"18-29 years",0.29185,0.128538420263158,1.40986,0.630576669047619
"251",2024-11-16,72,"18-29 years",0.23348,0.102830736210526,1.127888,0.504461335238095
"252",2024-11-09,71,"18-29 years",0.29185,0.128538420263158,1.40986,0.630576669047619
"253",2024-11-02,70,"18-29 years",0.29185,0.128538420263158,1.40986,0.630576669047619
"254",2023-10-28,17,"18-29 years",0.8172,0.362392357894737,3.94770461538461,1.75819066666667
"255",2023-10-21,16,"18-29 years",0.681,0.301993631578947,3.28975384615385,1.46515888888889
"256",2023-10-14,15,"18-29 years",0.8172,0.362392357894737,3.94770461538461,1.75819066666667
"257",2023-10-07,14,"18-29 years",0.8172,0.362392357894737,3.94770461538461,1.75819066666667
"258",2024-10-26,69,"18-29 years",0.3005,0.0898046885964912,1.45164615384615,0.777571574074074
"259",2024-10-19,68,"18-29 years",0.2404,0.071843750877193,1.16131692307692,0.622057259259259
"260",2024-10-12,67,"18-29 years",0.4207,0.125726564035088,2.03230461538462,1.0886002037037
"261",2024-10-05,66,"18-29 years",0.4207,0.125726564035088,2.03230461538462,1.0886002037037
"262",2023-09-30,13,"18-29 years",0.7308,0.37238747368421,3.53032615384615,1.42660666666667
"263",2023-09-23,12,"18-29 years",0.6699,0.341355184210526,3.23613230769231,1.30772277777778
"264",2023-09-16,11,"18-29 years",0.7917,0.403419763157895,3.82452,1.54549055555556
"265",2023-09-09,10,"18-29 years",0.9135,0.465484342105263,4.41290769230769,1.78325833333333
"266",2023-09-02,9,"18-29 years",0.7917,0.403419763157895,3.82452,1.54549055555556
"267",2024-09-28,65,"18-29 years",0.6192,0.237919452631579,2.99121230769231,1.44278514285714
"268",2024-09-21,64,"18-29 years",0.688,0.264354947368421,3.32356923076923,1.6030946031746
"269",2024-09-14,63,"18-29 years",0.8256,0.317225936842105,3.98828307692308,1.92371352380952
"270",2024-09-07,62,"18-29 years",0.8256,0.317225936842105,3.98828307692308,1.92371352380952
"271",2024-04-27,43,"30-49 years",0.1868,0.0872177347346296,0.532901006802721,0.429581440980736
"272",2024-04-20,42,"30-49 years",0.1401,0.0654133010509722,0.399675755102041,0.322186080735552
"273",2024-04-13,41,"30-49 years",0.1868,0.0872177347346296,0.532901006802721,0.429581440980736
"274",2024-04-06,40,"30-49 years",0.1868,0.0872177347346296,0.532901006802721,0.429581440980736
"275",2023-08-26,8,"30-49 years",0.7202,0.435457595270625,2.05457872108844,1.32564855376532
"276",2023-08-19,7,"30-49 years",0.554,0.334967380977404,1.58044517006803,1.01972965674256
"277",2023-08-12,6,"30-49 years",0.6094,0.368464119075144,1.73848968707483,1.12170262241681
"278",2023-08-05,5,"30-49 years",0.4432,0.267973904781923,1.26435613605442,0.815783725394046
"279",2024-08-31,61,"30-49 years",0.8386,0.370755944613768,2.39234895238095,1.99780515131348
"280",2024-08-24,60,"30-49 years",0.8985,0.39723851208618,2.56323102040816,2.14050551926445
"281",2024-08-17,59,"30-49 years",0.8386,0.370755944613768,2.39234895238095,1.99780515131348
"282",2024-08-10,58,"30-49 years",1.0183,0.450203647031004,2.90499515646259,2.42590625516637
"283",2024-08-03,57,"30-49 years",0.8985,0.39723851208618,2.56323102040816,2.14050551926445
"284",2023-12-30,26,"30-49 years",1.5752,0.713772536416185,4.49371341496599,3.69477091278459
"285",2023-12-23,25,"30-49 years",1.2888,0.583995711613242,3.6766746122449,3.02299438318739
"286",2023-12-16,24,"30-49 years",1.2888,0.583995711613242,3.6766746122449,3.02299438318739
"287",2023-12-09,23,"30-49 years",1.2888,0.583995711613242,3.6766746122449,3.02299438318739
"288",2023-12-02,22,"30-49 years",1.2172,0.551551505412507,3.47241491156463,2.85505025078809
"289",2024-12-28,78,"30-49 years",0.52533,0.231386967742512,1.49865570612245,1.25439254218214
"290",2024-12-21,77,"30-49 years",0.40859,0.179967641577509,1.1656211047619,0.97563864391944
"291",2024-12-14,76,"30-49 years",0.35022,0.154257978495008,0.999103804081633,0.836261694788091
"292",2024-12-07,75,"30-49 years",0.35022,0.154257978495008,0.999103804081633,0.836261694788091
"293",2024-02-24,34,"30-49 years",0.56,0.339366473988439,1.5975619047619,1.02820315236427
"294",2024-02-17,33,"30-49 years",0.48,0.290885549132948,1.3693387755102,0.881316987740806
"295",2024-02-10,32,"30-49 years",0.64,0.387847398843931,1.82578503401361,1.17508931698774
"296",2024-02-03,31,"30-49 years",0.68,0.412087861271676,1.93989659863946,1.24853239929947
"297",2025-02-22,86,"30-49 years",0.46696,0.205677304660011,1.33213840544218,1.11501559305079
"298",2025-02-15,85,"30-49 years",0.40859,0.179967641577509,1.1656211047619,0.97563864391944
"299",2025-02-08,84,"30-49 years",0.52533,0.231386967742512,1.49865570612245,1.25439254218214
"300",2025-02-01,83,"30-49 years",0.5837,0.257096630825013,1.66517300680272,1.39376949131349
"301",2024-01-27,30,"30-49 years",1.1577,0.578803156647399,3.30267395918367,2.53480949369527
"302",2024-01-20,29,"30-49 years",1.362,0.68094489017341,3.8854987755102,2.98212881611208
"303",2024-01-13,28,"30-49 years",1.6344,0.817133868208092,4.66259853061224,3.5785545793345
"304",2024-01-06,27,"30-49 years",1.4982,0.749039379190751,4.27404865306123,3.28034169772329
"305",2025-01-25,82,"30-49 years",0.46696,0.205677304660011,1.33213840544218,1.11501559305079
"306",2025-01-18,81,"30-49 years",0.52533,0.231386967742512,1.49865570612245,1.25439254218214
"307",2025-01-11,80,"30-49 years",0.52533,0.231386967742512,1.49865570612245,1.25439254218214
"308",2025-01-04,79,"30-49 years",0.5837,0.257096630825013,1.66517300680272,1.39376949131349
"309",2023-07-29,4,"30-49 years",0.3996,0.163459498265896,1.13997453061224,0.995992852539404
"310",2023-07-22,3,"30-49 years",0.3996,0.163459498265896,1.13997453061224,0.995992852539404
"311",2023-07-15,2,"30-49 years",0.333,0.136216248554913,0.949978775510204,0.829994043782837
"312",2023-07-08,1,"30-49 years",0.2664,0.108972998843931,0.759983020408163,0.66399523502627
"313",2023-07-01,0,"30-49 years",0.2664,0.108972998843931,0.759983020408163,0.66399523502627
"314",2024-07-27,56,"30-49 years",0.8442,0.332536723699422,2.40832457142857,2.14677250928196
"315",2024-07-20,55,"30-49 years",0.7236,0.285031477456647,2.06427820408163,1.84009072224168
"316",2024-07-13,54,"30-49 years",0.603,0.237526231213873,1.72023183673469,1.5334089352014
"317",2024-07-06,53,"30-49 years",0.603,0.237526231213873,1.72023183673469,1.5334089352014
"318",2024-06-29,52,"30-49 years",0.4776,0.164449500788229,1.36249208163265,1.2934428441331
"319",2024-06-22,51,"30-49 years",0.2985,0.102780937992643,0.851557551020408,0.808401777583187
"320",2024-06-15,50,"30-49 years",0.3582,0.123337125591172,1.02186906122449,0.970082133099825
"321",2024-06-08,49,"30-49 years",0.2985,0.102780937992643,0.851557551020408,0.808401777583187
"322",2024-06-01,48,"30-49 years",0.2985,0.102780937992643,0.851557551020408,0.808401777583187
"323",2024-03-30,39,"30-49 years",0.2595,0.127237636363636,0.740298775510204,0.576519015761822
"324",2024-03-23,38,"30-49 years",0.3114,0.152685163636364,0.888358530612245,0.691822818914186
"325",2024-03-16,37,"30-49 years",0.3633,0.178132690909091,1.03641828571429,0.80712662206655
"326",2024-03-09,36,"30-49 years",0.3633,0.178132690909091,1.03641828571429,0.80712662206655
"327",2024-03-02,35,"30-49 years",0.6228,0.305370327272727,1.77671706122449,1.38364563782837
"328",2025-03-15,89,"30-49 years",0.17511,0.077128989247504,0.499551902040816,0.418130847394045
"329",2025-03-08,88,"30-49 years",0.29185,0.128548315412507,0.832586503401361,0.696884745656743
