"","weeks","immuno","prior_inf","prior_vacc","severe_ve","nonsevere_ve"
"51",12,0,1,1,0.975173635010127,0.76245175217375
"52",12,1,0,1,0.665774916112723,0.354337971440399
"53",12,1,1,0,0.780749025066323,0.602881958088544
"54",12,1,1,1,0.902195499221865,0.61245175217375
"55",13,0,0,1,0.80563822696599,0.492724670645639
"56",13,0,1,0,0.928241730665235,0.741223443712177
"57",13,0,1,1,0.974420686364843,0.753275891815117
"58",13,1,0,1,0.65563822696599,0.342724670645639
"59",13,1,1,0,0.778241730665235,0.591223443712177
"60",13,1,1,1,0.899527705927559,0.603275891815117
"61",14,0,0,1,0.795756528811559,0.481729988918237
"62",14,0,1,0,0.9258394781133,0.729939545763805
"63",14,0,1,1,0.973703221037673,0.744464676829555
"64",14,1,0,1,0.645756528811559,0.331729988918237
"65",14,1,1,0,0.7758394781133,0.579939545763805
"66",14,1,1,1,0.896895395951367,0.594464676829555
"67",15,0,0,1,0.786105824785244,0.471280096894546
"68",15,0,1,0,0.92353080405329,0.718992664400274
"69",15,0,1,1,0.973017200011276,0.735979018405851
"70",15,1,0,1,0.636105824785244,0.321280096894546
"71",15,1,1,0,0.77353080405329,0.568992664400274
"72",15,1,1,1,0.894294530275948,0.585979018405851
"73",16,0,0,1,0.776665814287761,0.461314222582995
"74",16,0,1,0,0.921306166575708,0.708351204145573
"75",16,0,1,1,0.972359278439336,0.727786311257107
"76",16,1,0,1,0.626665814287761,0.311314222582995
"77",16,1,1,0,0.771306166575708,0.558351204145573
"78",16,1,1,1,0.891721764054986,0.577786311257107
"79",17,0,0,1,0.767419129405449,0.451781682548292
"80",17,0,1,0,0.919157524520105,0.697988302567559
"81",17,0,1,1,0.971726650971906,0.719859024392675
"82",17,1,0,1,0.617419129405449,0.301781682548292
"83",17,1,1,0,0.769157524520105,0.547988302567559
"84",17,1,1,1,0.889174291938534,0.569859024392675
"85",18,0,0,1,0.758350764543942,0.442639720829918
"86",18,0,1,0,0.917078027992613,0.687880886641509
"87",18,0,1,1,0.971116938519034,0.71217366237779
"88",18,1,0,1,0.608350764543942,0.292639720829918
"89",18,1,1,0,0.767078027992613,0.537880886641509
"90",18,1,1,1,0.88664973483664,0.56217366237779
"91",19,0,0,1,0.749447642394175,0.433851903647101
"92",19,0,1,0,0.915061786199033,0.678008958909223
"93",19,0,1,1,0.970528103686305,0.704709984647603
"94",19,1,0,1,0.599447642394175,0.283851903647101
"95",19,1,1,0,0.765061786199033,0.528008958909223
"96",19,1,1,1,0.88414605535489,0.554709984647603
"97",2,0,0,1,0.944457440314783,0.704855403907534
"98",2,0,1,0,0.968763304583968,0.911946777293384
"99",2,0,1,1,0.98728107549444,0.898305030130554
"100",2,1,0,1,0.794457440314783,0.554855403907534
"101",2,1,1,0,0.818763304583968,0.761946777293384
"102",2,1,1,1,0.933451386196396,0.748305030130554
"103",20,0,0,1,0.74069827820294,0.42538690553344
"104",20,0,1,0,0.913103690255868,0.668355048380942
"105",20,0,1,1,0.969958386508873,0.697450408652011
"106",20,1,0,1,0.59069827820294,0.27538690553344
"107",20,1,1,0,0.763103690255868,0.518355048380942
"108",20,1,1,1,0.881661493528436,0.547450408652011
"109",21,0,0,1,0.732092516295026,0.417217576860886
"110",21,0,1,0,0.911199275882662,0.658903781863104
"111",21,0,1,1,0.969406254849227,0.690379546579297
"112",21,1,0,1,0.582092516295026,0.267217576860886
"113",21,1,1,0,0.761199275882662,0.508903781863104
"114",21,1,1,1,0.879194517219768,0.540379546579297
"115",22,0,0,1,0.723621320607884,0.409320217367382
"116",22,0,1,0,0.909344615541462,0.649641544851166
"117",22,0,1,1,0.968870365579933,0.683483840868724
"118",22,1,0,1,0.573621320607884,0.259320217367382
"119",22,1,1,0,0.759344615541462,0.499641544851166
"120",22,1,1,1,0.876743783301452,0.533483840868724
"121",23,0,0,1,0.715276606221972,0.401674002976644
"122",23,0,1,0,0.907536232666376,0.640556210073078
"123",23,0,1,1,0.968349533826919,0.676751273943526
"124",23,1,0,1,0.565276606221972,0.251674002976644
"125",23,1,1,0,0.757536232666376,0.490556210073078
"126",23,1,1,1,0.874308106899416,0.526751273943526
"127",24,0,0,1,0.707051102435183,0.394260528371316
"128",24,0,1,0,0.905771032702245,0.631636917846849
"129",24,0,1,1,0.967842708324777,0.670171134502297
"130",24,1,0,1,0.557051102435183,0.244260528371316
"131",24,1,1,0,0.755771032702245,0.481636917846849
"132",24,1,1,1,0.871886436748252,0.520171134502297
"133",25,0,0,1,0.698938240410926,0.387063438140787
"134",25,0,1,0,0.904046247100002,0.622873896625629
"135",25,0,1,1,0.96734895146751,0.663733827466365
"136",25,1,0,1,0.548938240410926,0.237063438140787
"137",25,1,1,0,0.754046247100002,0.472873896625629
"138",25,1,1,1,0.869477835241963,0.513733827466365
"139",26,0,0,1,0.690932060186246,0.380068126529025
"140",26,0,1,0,0.902359387417075,0.614258315071483
"141",26,0,1,1,0.966867423009639,0.65743071801955
"142",26,1,0,1,0.540932060186246,0.230068126529025
