"","weeks","immuno","severe_inf_ve","severe_vacc_ve","severe_hybrid_ve","nonsevere_inf_ve","nonsevere_vacc_ve","nonsevere_hybrid_ve"
"85",43,0,0.728016219141942,0.381287056802871,0.776329604104859,0.190921654099083,0,0.207409578087736
"86",43,1,0.578016219141942,0.231287056802871,0.643991284196919,0.0409216540990828,0,0.057409578087736
"87",44,0,0.725223645164487,0.371695113413791,0.774401948043026,0.180137973591948,0,0.198734729441409
"88",44,1,0.575223645164487,0.221695113413791,0.640148783486064,0.030137973591948,0,0.048734729441409
"89",45,0,0.722466119906263,0.362175025210461,0.772501557565206,0.169457737659389,0,0.190163076392098
"90",45,1,0.572466119906263,0.212175025210461,0.636333548359222,0.0194577376593885,0,0.040163076392098
"91",46,0,0.71974243897325,0.352724674603654,0.770627453704557,0.15887768752694,0,0.181691138132585
"92",46,1,0.569742438973251,0.202724674603654,0.632544599849551,0.00887768752693976,0,0.031691138132585
"93",47,0,0.717051464497003,0.343342050941822,0.768778713028773,0.148394735397521,0,0.173315623987126
"94",47,1,0.567051464497003,0.193342050941822,0.628781014524745,0,0,0.0233156239871257
"95",48,0,0.714392120130121,0.334025242957043,0.766954463382133,0.13800595204787,0,0.165033419221295
"96",48,1,0.564392120130121,0.184025242957043,0.625041920229084,0,0,0.0150334192212953
"97",49,0,0.71176338651412,0.32477243189041,0.765153880035422,0.127708555563542,0,0.156841572183111
"98",49,1,0.56176338651412,0.17477243189041,0.621326492233351,0,0,0.00684157218311102
"99",5,0,0.895453025654704,0.853397294371278,0.899818946950362,0.765692264064787,0.446341648173218,0.713867944727252
"100",5,1,0.745453025654704,0.703397294371278,0.840244723705253,0.615692264064787,0.296341648173218,0.563867944727252
"101",50,0,0.709164297166403,0.315581885223186,0.763376182197185,0.117499901086907,0,0.148737282626021
"102",50,1,0.559164297166403,0.165581885223186,0.617633949746092,0,0,0
"103",51,0,0.706593934740025,0.306451950949319,0.761620629845883,0.107377471468712,0,0.140717891083774
"104",51,1,0.556593934740025,0.156451950949319,0.613963552745768,0,0,0
"105",52,0,0.704051427615827,0.29738105233289,0.759886520847754,0.0973388687274474,0,0.132780869183737
"106",52,1,0.554051427615827,0.14738105233289,0.610314599098617,0,0,0
"107",53,0,0.701535946791632,0.288367683100933,0.758173188329641,0.0873818062325929,0,0.124923810799385
"108",53,1,0.551535946791631,0.138367683100933,0.606686421931482,0,0,0
"109",54,0,0.699046703037492,0.279410403027945,0.756479998279872,0.0775041015379129,0,0.11714442395488
"110",54,1,0.549046703037491,0.129410403027945,0.603078387232691,0,0,0
"111",55,0,0.696582944289768,0.27050783387354,0.754806347353552,0.0677036697997593,0,0.109440523405102
"112",55,1,0.546582944289767,0.12050783387354,0.599489891657349,0,0,0
"113",56,0,0.694143953260017,0.261658655639097,0.75315166086148,0.0579785177228823,0,0.101810023823588
"114",56,1,0.544143953260017,0.111658655639097,0.595920360516256,0,0,0
"115",57,0,0.691729045237487,0.252861603113119,0.751515390924327,0.0483267379828384,0,0.0942509335386272
"116",57,1,0.541729045237487,0.102861603113119,0.592369245930081,0,0,0
"117",58,0,0.689337566066419,0.244115462678388,0.749897014775854,0.0387465040797992,0,0.0867613487646145
"118",58,1,0.539337566066419,0.0941154626783882,0.588836025132586,0,0,0
"119",59,0,0.686968890281517,0.235419069356889,0.748296033200785,0.029236065583551,0,0.0793394482816658
"120",59,1,0.536968890281516,0.0876771413175332,0.585320198908495,0,0,0
"121",6,0,0.886630934550965,0.834374023063504,0.892763704446176,0.739750840891552,0.416350374316296,0.688068951762067
"122",6,1,0.736630934550965,0.684374023063504,0.831274636552045,0.589750840891552,0.266350374316296,0.538068951762067
"123",60,0,0.684622419386719,0.226771304071101,0.746711969094555,0.0197937437338439,0,0.0719834885216813
"124",60,1,0.534622419386719,0.0814583895280428,0.581821290153243,0,0,0
"125",61,0,0.6822975802641,0.218171091102456,0.745144366133557,0.0104179273640704,0,0.0646917990235794
"126",61,1,0.532297580264099,0.075273833400386,0.578338842543223,0,0,0
"127",62,0,0.67999382370107,0.209617395729802,0.743592787545766,0.001107069119616,0,0.0574627782243867
"128",62,1,0.52999382370107,0.0691227288493793,0.57487241930641,0,0,0
"129",63,0,0.67771062302534,0.201109222032404,0.742056814972638,0,0,0.050294889556371
"130",63,1,0.52771062302534,0.0630043596918655,0.571421602084261,0,0,0
"131",64,0,0.675447472838169,0.192645610843621,0.74053604741421,0,0,0.0431866578234734
"132",64,1,0.525447472838169,0.056918036175165,0.567985989876811,0,0,0
"133",65,0,0.673203887837416,0.18422563784271,0.739030100250092,0,0,0.0361366658330162
"134",65,1,0.523203887837415,0.0508630936048655,0.564565198063671,0,0,0
"135",66,0,0.670979401722737,0.175848411773482,0.737538604329822,0,0,0.0291435512610683
"136",66,1,0.520979401722737,0.045631700172262,0.561158857494379,0,0,0
"137",67,0,0.668773566176052,0.167513072779572,0.736061205126703,0,0,0.0222060037319717
"138",67,1,0.518773566176052,0.0417948291065735,0.557766613642238,0,0,0
"139",68,0,0.666585949911052,0.159218790847063,0.734597561949803,0,0,0.0153227620944352
"140",68,1,0.516585949911052,0.037976857170368,0.554388125816316,0,0,0
"141",69,0,0.66441613778614,0.150964764346075,0.733147347209336,0,0,0.00849261187827547
"142",69,1,0.51441613778614,0.034177415362398,0.551023066426827,0,0,0
"143",7,0,0.878593636153717,0.816376664161623,0.886412321656112,0.715589337064276,0.389729128838063,0.664449635188731
"144",7,1,0.728593636153716,0.666376664161623,0.823008409112959,0.565589337064276,0.239729128838063,0.514449635188731
"145",70,0,0.66226372997571,0.142750218663698,0.731710245731083,0,0,0.00171438291738796
