"","week","age_group","risk_group","risk_coverage","prop_up_to_date_sim_period"
"79",11,"50-64 years","healthy",3.12792570366439,0.0491331097936509
"80",1,"50-64 years","healthy",0.24315868475092,0.0160293297334736
"81",10,"50-64 years","healthy",2.40494893412137,0.0831534440248755
"82",2,"50-64 years","healthy",0.24315868475092,0
"83",5,"50-64 years","healthy",0.367438434153665,0.008182630676363
"84",9,"50-64 years","healthy",1.18137467655934,0.0275443191267437
"85",7,"50-64 years","healthy",0.370764359192925,0
"86",21,"50-64 years","healthy",13.0932209742739,0.0621369813018801
"87",8,"50-64 years","healthy",0.77606951787613,0.0275443191267437
"88",3,"50-64 years","healthy",0.245477678356273,0.000157597549772759
"89",12,"50-64 years","healthy",4.35049302979252,0.0830850135098426
"90",4,"50-64 years","healthy",0.247033845117761,0.000105756250505427
"91",13,"50-64 years","healthy",5.46794281683583,0.0759412824707978
"92",22,"50-64 years","healthy",13.3807761813379,0.0195420961718311
"93",20,"50-64 years","healthy",12.1788967192154,0.0379975987110179
"94",18,"50-64 years","healthy",10.9447649381343,0.0826578412038794
"95",16,"50-64 years","healthy",8.15248304577119,0.0543960384952751
"96",14,"50-64 years","healthy",6.29631174312746,0.056295503700432
"97",23,"50-64 years","healthy",13.8876593625504,0.0344475065371879
"98",15,"50-64 years","healthy",7.35206409503884,0.0717483581860522
"99",24,"50-64 years","healthy",14.3605814926739,0.0321395318938042
"100",19,"50-64 years","healthy",11.619775155735,0.0458733288957182
"101",6,"50-64 years","healthy",0.370764359192925,0.000226028064805908
"102",17,"50-64 years","healthy",9.7284833051996,0.107104124286405
"103",26,"50-64 years","healthy",14.714655200523,0.0119691191748525
"104",25,"50-64 years","healthy",14.5385337388111,0.0120935382930941
"105",4,"65-74 years","healthy",0.318765165788645,0.00227617602427924
"106",3,"65-74 years","healthy",0.265637638157204,0
"107",1,"65-74 years","healthy",0.212510110525762,0.00682852807283757
"108",7,"65-74 years","healthy",0.425020221051528,0
"109",2,"65-74 years","healthy",0.265637638157204,0.00227617602427924
"110",22,"65-74 years","healthy",21.2687202284534,0.00227617602427924
"111",23,"65-74 years","healthy",22.3843983087137,0.0477996965098635
"112",21,"65-74 years","healthy",21.215592700822,0.0204855842185129
"113",5,"65-74 years","healthy",0.425020221051528,0.00455235204855849
"114",14,"65-74 years","healthy",11.0682349232168,0.0341426403641882
"115",6,"65-74 years","healthy",0.425020221051528,0
"116",15,"65-74 years","healthy",12.7151882797915,0.0705614567526556
"117",24,"65-74 years","healthy",22.7031634745023,0.0136570561456753
"118",13,"65-74 years","healthy",10.2713220087452,0.0637329286798179
"119",20,"65-74 years","healthy",20.737444952139,0.0477996965098635
"120",9,"65-74 years","healthy",2.19593780876622,0.0379362670713202
