"","week","age_group","perc_doses"
"221",2021-10-17,"0-17 years",0.005610328416247
"222",2021-10-17,"18-29 years",0.00761653125781565
"223",2021-10-17,"50-64 years",0.00424852250684004
"224",2021-10-17,"65-74 years",0.00290757348224969
"225",2021-10-17,"75+ years",0.00268334289766857
"226",2021-10-24,"0-17 years",0.00477471184819388
"227",2021-10-24,"18-29 years",0.00698721882086981
"228",2021-10-24,"50-64 years",0.00438513396036679
"229",2021-10-24,"65-74 years",0.00418736400664028
"230",2021-10-24,"75+ years",0.00417693961152604
"231",2021-10-31,"0-17 years",0.00442119350845649
"232",2021-10-31,"18-29 years",0.00679692291274767
"233",2021-10-31,"50-64 years",0.0042289396578777
"234",2021-10-31,"65-74 years",0.00360268220262726
"235",2021-10-31,"75+ years",0.00358651801604367
"236",2021-11-07,"0-17 years",0.00392878750997563
"237",2021-11-07,"18-29 years",0.00594686802837722
"238",2021-11-07,"50-64 years",0.00371564414024378
"239",2021-11-07,"65-74 years",0.00292827650095101
"240",2021-11-07,"75+ years",0.00294502387557713
"241",2021-11-14,"0-17 years",0.0037477143474082
"242",2021-11-14,"18-29 years",0.0058938837960173
"243",2021-11-14,"50-64 years",0.0039193245090205
"244",2021-11-14,"65-74 years",0.0029108833692521
"245",2021-11-14,"75+ years",0.00290476894555681
"246",2021-11-21,"0-17 years",0.0106327321638163
"247",2021-11-21,"18-29 years",0.00429928911864462
"248",2021-11-21,"50-64 years",0.00287324432263225
"249",2021-11-21,"65-74 years",0.00172318558322253
"250",2021-11-21,"75+ years",0.00159167323182613
"251",2021-11-28,"0-17 years",0.067631761553636
"252",2021-11-28,"18-29 years",0.00584521164797949
"253",2021-11-28,"50-64 years",0.00407990387051168
"254",2021-11-28,"65-74 years",0.00262133315628683
"255",2021-11-28,"75+ years",0.0024290810804653
"256",2021-12-05,"0-17 years",0.0558822779347443
"257",2021-12-05,"18-29 years",0.00550386181405922
"258",2021-12-05,"50-64 years",0.0037381316223058
"259",2021-12-05,"65-74 years",0.00225208605628327
"260",2021-12-05,"75+ years",0.00200772061795769
"261",2021-12-12,"0-17 years",0.0311878765962918
"262",2021-12-12,"18-29 years",0.00486307399383557
"263",2021-12-12,"50-64 years",0.00323265050468843
"264",2021-12-12,"65-74 years",0.00190003738874318
"265",2021-12-12,"75+ years",0.00166366302344393
"266",2021-12-19,"0-17 years",0.0177057713434216
"267",2021-12-19,"18-29 years",0.00379187366350573
"268",2021-12-19,"50-64 years",0.00241875357059051
"269",2021-12-19,"65-74 years",0.00140021200150749
"270",2021-12-19,"75+ years",0.00120812655613904
"271",2021-12-26,"0-17 years",0.0200852628206518
"272",2021-12-26,"18-29 years",0.0041147258646797
"273",2021-12-26,"50-64 years",0.00256213000830425
"274",2021-12-26,"65-74 years",0.00134650746239985
"275",2021-12-26,"75+ years",0.00108884559821913
"276",2022-01-02,"0-17 years",0.0255618192863114
"277",2022-01-02,"18-29 years",0.00486605618299293
"278",2022-01-02,"50-64 years",0.00276631634542736
"279",2022-01-02,"65-74 years",0.00145940056907991
"280",2022-01-02,"75+ years",0.00114882113604965
"281",2022-01-09,"0-17 years",0.020011695883214
"282",2022-01-09,"18-29 years",0.00424585151293307
"283",2022-01-09,"50-64 years",0.00240990849431278
"284",2022-01-09,"65-74 years",0.00128053687145976
"285",2022-01-09,"75+ years",0.00105079248363393
"286",2022-01-16,"0-17 years",0.0190879669687123
"287",2022-01-16,"18-29 years",0.00360026801014557
"288",2022-01-16,"50-64 years",0.00196782333654192
"289",2022-01-16,"65-74 years",0.000999683224343946
"290",2022-01-16,"75+ years",0.000798541019654027
"291",2022-01-23,"0-17 years",0.0207859239533948
"292",2022-01-23,"18-29 years",0.00395190438166605
"293",2022-01-23,"50-64 years",0.00201214241577248
"294",2022-01-23,"65-74 years",0.00100704934541793
"295",2022-01-23,"75+ years",0.000789063640172429
"296",2022-01-30,"0-17 years",0.0190095515616043
"297",2022-01-30,"18-29 years",0.00380894065145358
"298",2022-01-30,"50-64 years",0.00177184493037145
"299",2022-01-30,"65-74 years",0.000844507933701795
"300",2022-01-30,"75+ years",0.000650301402207014
"301",2022-02-06,"0-17 years",0.0163980970787321
"302",2022-02-06,"18-29 years",0.00358793625498136
"303",2022-02-06,"50-64 years",0.00161625029407068
