"","day","age_group","perc_doses"
"203",2021-01-24,"50-64 years",0.00221380158824481
"204",2021-01-24,"65-74 years",0.00197517738653306
"205",2021-01-24,"75+ years",0.00330584125155512
"206",2021-01-25,"0-17 years",1.70541784689726e-05
"207",2021-01-25,"18-29 years",0.00200297324258989
"208",2021-01-25,"50-64 years",0.00221380158824481
"209",2021-01-25,"65-74 years",0.00197517738653306
"210",2021-01-25,"75+ years",0.00330584125155512
"211",2021-01-26,"0-17 years",1.70541784689726e-05
"212",2021-01-26,"18-29 years",0.00200297324258989
"213",2021-01-26,"50-64 years",0.00221380158824481
"214",2021-01-26,"65-74 years",0.00197517738653306
"215",2021-01-26,"75+ years",0.00330584125155512
"216",2021-01-27,"0-17 years",1.70541784689726e-05
"217",2021-01-27,"18-29 years",0.00200297324258989
"218",2021-01-27,"50-64 years",0.00221380158824481
"219",2021-01-27,"65-74 years",0.00197517738653306
"220",2021-01-27,"75+ years",0.00330584125155512
"221",2021-01-28,"0-17 years",1.70541784689726e-05
"222",2021-01-28,"18-29 years",0.00200297324258989
"223",2021-01-28,"50-64 years",0.00221380158824481
"224",2021-01-28,"65-74 years",0.00197517738653306
"225",2021-01-28,"75+ years",0.00330584125155512
"226",2021-01-29,"0-17 years",1.70541784689726e-05
"227",2021-01-29,"18-29 years",0.00200297324258989
"228",2021-01-29,"50-64 years",0.00221380158824481
"229",2021-01-29,"65-74 years",0.00197517738653306
"230",2021-01-29,"75+ years",0.00330584125155512
"231",2021-01-30,"0-17 years",1.70541784689726e-05
"232",2021-01-30,"18-29 years",0.00200297324258989
"233",2021-01-30,"50-64 years",0.00221380158824481
"234",2021-01-30,"65-74 years",0.00197517738653306
"235",2021-01-30,"75+ years",0.00330584125155512
"236",2021-01-31,"0-17 years",2.56494407865616e-05
"237",2021-01-31,"18-29 years",0.00239392499973892
"238",2021-01-31,"50-64 years",0.00273816951371307
"239",2021-01-31,"65-74 years",0.00397070547886522
"240",2021-01-31,"75+ years",0.00704202117576167
"241",2021-02-01,"0-17 years",2.56494407865616e-05
"242",2021-02-01,"18-29 years",0.00239392499973892
"243",2021-02-01,"50-64 years",0.00273816951371307
"244",2021-02-01,"65-74 years",0.00397070547886522
"245",2021-02-01,"75+ years",0.00704202117576167
"246",2021-02-02,"0-17 years",2.56494407865616e-05
"247",2021-02-02,"18-29 years",0.00239392499973892
"248",2021-02-02,"50-64 years",0.00273816951371307
"249",2021-02-02,"65-74 years",0.00397070547886522
"250",2021-02-02,"75+ years",0.00704202117576167
"251",2021-02-03,"0-17 years",2.56494407865616e-05
"252",2021-02-03,"18-29 years",0.00239392499973892
"253",2021-02-03,"50-64 years",0.00273816951371307
"254",2021-02-03,"65-74 years",0.00397070547886522
"255",2021-02-03,"75+ years",0.00704202117576167
"256",2021-02-04,"0-17 years",2.56494407865616e-05
