"","weeks","immuno","prior_inf","prior_vacc","severe_ve","nonsevere_ve"
"96",19,1,1,1,0.748724626272385,0.311615726706931
"97",2,0,0,1,0.92059484726802,0.575281066498324
"98",2,0,1,0,0.930418738666376,0.861770167918286
"99",2,0,1,1,0.928838452237279,0.814585764488572
"100",2,1,0,1,0.77059484726802,0.425281066498324
"101",2,1,1,0,0.780418738666376,0.711770167918286
"102",2,1,1,1,0.875008762939234,0.664585764488572
"103",20,0,0,1,0.629295211822207,0.173120348842583
"104",20,0,1,0,0.806434235225447,0.479369129670636
"105",20,0,1,1,0.831919144391213,0.448379784603917
"106",20,1,0,1,0.479295211822207,0.023120348842583
"107",20,1,1,0,0.656434235225448,0.329369129670636
"108",20,1,1,1,0.743622251410776,0.298379784603917
"109",21,0,0,1,0.616992180731351,0.161364522691035
"110",21,0,1,0,0.802192059399079,0.464532114697621
"111",21,0,1,1,0.828830003996361,0.435487913085569
"112",21,1,0,1,0.466992180731351,0.011364522691035
"113",21,1,1,0,0.652192059399078,0.314532114697621
"114",21,1,1,1,0.738618266366902,0.285487913085569
"115",22,0,0,1,0.604881529166637,0.150000065587747
"116",22,0,1,0,0.798060713103723,0.449991846579018
"117",22,0,1,1,0.825831738709405,0.422915393478365
"118",22,1,0,1,0.454881529166637,6.55877470112642e-08
"119",22,1,1,0,0.648060713103723,0.299991846579018
"120",22,1,1,1,0.733705156430924,0.272915393478365
"121",23,0,0,1,0.592951698707375,0.138997011273509
"122",23,0,1,0,0.794032452119431,0.435729287388361
"123",23,0,1,1,0.822917719237696,0.410640314867618
"124",23,1,0,1,0.442951698707375,0
"125",23,1,1,0,0.644032452119431,0.285729287388361
"126",23,1,1,1,0.728876292310193,0.260640314867618
"127",24,0,0,1,0.581192294960245,0.12832887413123
"128",24,0,1,0,0.790100383173775,0.421727389117955
"129",24,0,1,1,0.820082063820264,0.398643147990825
"130",24,1,0,1,0.431192294960245,0
"131",24,1,1,0,0.640100383173775,0.271727389117955
"132",24,1,1,1,0.724125792243739,0.248643147990825
"133",25,0,0,1,0.569593926937948,0.117972118400328
"134",25,0,1,0,0.786258339188785,0.40797081196264
"135",25,0,1,1,0.817319526613116,0.386906398726314
"136",25,1,0,1,0.419593926937948,0
"137",25,1,1,0,0.636258339188785,0.25797081196264
"138",25,1,1,1,0.719448410387569,0.236906398726314
"139",26,0,0,1,0.558148074115474,0.107905726107891
"140",26,0,1,0,0.782500777037358,0.394445692098669
"141",26,0,1,1,0.814625406497933,0.375414323740439
"142",26,1,0,1,0.408148074115474,0
"143",26,1,1,0,0.632500777037359,0.244445692098669
"144",26,1,1,1,0.714839445623364,0.225414323740439
"145",27,0,0,1,0.546846975516938,0.0981108423016238
"146",27,0,1,0,0.778822693044045,0.381139448701537
"147",27,0,1,1,0.811995471941546,0.364152695196372
"148",27,1,0,1,0.396846975516938,0
"149",27,1,1,0,0.628822693044045,0.231139448701537
"150",27,1,1,1,0.710294666417956,0.214152695196372
"151",28,0,0,1,0.535683536504054,0.0885704814296896
"152",28,0,1,0,0.775219552611941,0.368040622371427
"153",28,0,1,1,0.80942589859585,0.353108604567257
"154",28,1,0,1,0.385683536504055,0
"155",28,1,1,0,0.625219552611942,0.218040622371427
"156",28,1,1,1,0.705810248423238,0.203108604567257
"157",29,0,0,1,0.524651249911742,0.0792692825403312
"158",29,0,1,0,0.7716872311973,0.355138738920693
"159",29,0,1,1,0.806913217103556,0.342270297898823
"160",29,1,0,1,0.374651249911741,0
"161",29,1,1,0,0.6216872311973,0.205138738920693
"162",29,1,1,1,0.701382722281922,0.192270297898823
"163",3,0,0,1,0.895843746985643,0.522413560640849
"164",3,0,1,0,0.916682538981274,0.825410672991263
"165",3,0,1,1,0.917210459124816,0.775342058555992
"166",3,1,0,1,0.745843746985642,0.372413560640849
"167",3,1,1,0,0.766682538981274,0.675410672991263
"168",3,1,1,1,0.86146592517775,0.625342058555992
"169",30,0,0,1,0.51374412890551,0.0701933037952278
"170",30,0,1,0,0.76822196447637,0.342424193809024
"171",30,0,1,1,0.804454269148859,0.331627036575916
"172",30,1,0,1,0.36374412890551,0
"173",30,1,1,0,0.61822196447637,0.192424193809024
"174",30,1,1,1,0.697008929678204,0.181627036575916
"175",31,0,0,1,0.502956649486949,0.0613298488941879
"176",31,0,1,0,0.764820306016163,0.329888153515538
"177",31,0,1,1,0.802046170221189,0.321168978931052
"178",31,1,0,1,0.352956649486949,0
"179",31,1,1,0,0.614820306016163,0.179888153515538
"180",31,1,1,1,0.69268598610151,0.171168978931052
"181",32,0,0,1,0.492283700995372,0.0526673195945403
"182",32,0,1,0,0.761479091115105,0.317522470901686
"183",32,0,1,1,0.799686277884744,0.310887079007356
"184",32,1,0,1,0.342283700995372,0
"185",32,1,1,0,0.611479091115106,0.167522470901686
"186",32,1,1,1,0.688411249116043,0.160887079007356
"187",33,0,0,1,0.481720543279161,0.0441950897160606
"188",33,0,1,0,0.758195405750722,0.305319612206996
"189",33,0,1,1,0.797372164594329,0.300772999534952
"190",33,1,0,1,0.331720543279161,0
"191",33,1,1,0,0.608195405750722,0.155319612206996
"192",33,1,1,1,0.684182291176606,0.150772999534952
"193",34,0,0,1,0.47126276946383,0.035903396950344
"194",34,0,1,0,0.754966559781075,0.293272593776246
"195",34,0,1,1,0.795101594289017,0.290819036757451
"196",34,1,0,1,0.32126276946383,0
"197",34,1,1,0,0.604966559781075,0.143272593776246
"198",34,1,1,1,0.679996876222273,0.140819036757451
"199",35,0,0,1,0.460906273442838,0.0277832495131309
"200",35,0,1,0,0.751790063710028,0.28137492697398
"201",35,0,1,1,0.792872502143724,0.28101805519574
"202",35,1,0,1,0.310906273442838,0
"203",35,1,1,0,0.601790063710028,0.13137492697398
"204",35,1,1,1,0.675852939427958,0.13101805519574
"205",36,0,0,1,0.450647221374654,0.0198263452406095
"206",36,0,1,0,0.748663608454686,0.269620570024286
"207",36,0,1,1,0.790682976975184,0.271363430790603
"208",36,1,0,1,0.300647221374654,0
"209",36,1,1,0,0.598663608454685,0.119620570024286
"210",36,1,1,1,0.671748569610398,0.121363430790603
"211",37,0,0,1,0.440482026595122,0.0120250011738517
"212",37,0,1,0,0.745585047654971,0.258003885737772
"213",37,0,1,1,0.788531245890776,0.261849001146379
"214",37,1,0,1,0.290482026595122,0
"215",37,1,1,0,0.595585047654971,0.108003885737772
"216",37,1,1,1,0.667681993876966,0.111849001146379
"217",38,0,0,1,0.43040732745492,0.0043720920271135
"218",38,0,1,0,0.74255238214622,0.246519604267065
"219",38,0,1,1,0.786415660841769,0.252469021821866
"220",38,1,0,1,0.28040732745492,0
"221",38,1,1,0,0.59255238214622,0.096519604267065
"222",38,1,1,1,0.663651564178938,0.102469021821866
"223",39,0,0,1,0.42041996767327,0
"224",39,0,1,0,0.739563746280693,0.235162790176606
"225",39,0,1,1,0.78433468680118,0.243218127794519
"226",39,1,0,1,0.27041996767327,0
"227",39,1,1,0,0.589563746280693,0.085162790176606
"228",39,1,1,1,0.659655745489327,0.093218127794519
"229",4,0,0,1,0.873732439345596,0.480958783311221
"230",4,0,1,0,0.905321615976931,0.793949617772638
"231",4,0,1,1,0.90782530392993,0.742557701412351
"232",4,1,0,1,0.723732439345596,0.330958783311221
"233",4,1,1,0,0.755321615976931,0.643949617772638
"234",4,1,1,1,0.850165925333842,0.592557701412351
"235",40,0,0,1,0.410516978865202,0
"236",40,0,1,0,0.736617395836311,0.223928813229595
"237",40,0,1,1,0.782286891333563,0.234091299369358
"238",40,1,0,1,0.260516978865202,0
"239",40,1,1,0,0.586617395836311,0.0739288132295948
"240",40,1,1,1,0.655693105372688,0.084091299369358
"241",41,0,0,1,0.400695564953734,0
"242",41,0,1,0,0.7337116972936,0.21281332239042
"243",41,0,1,1,0.78027093536237,0.225083831922203
"244",41,1,0,1,0.250695564953734,0
"245",41,1,1,0,0.5837116972936,0.06281332239042
"246",41,1,1,1,0.651762304752475,0.075083831922203
"247",42,0,0,1,0.390953088222723,0
